"","country_name","country_code","year","regime_category_index","regime_category","is_monarchy","is_commonwealth","monarch_name","monarch_accession_year","monarch_birthyear","is_female_monarch","is_democracy","is_presidential","president_name","president_accesion_year","president_birthyear","is_interim_phase","is_female_president","is_colony","colony_of","colony_administrated_by","is_communist","has_regime_change_lag","spatial_democracy","parliament_chambers","has_proportional_voting","election_system","lower_house_members","upper_house_members","third_house_members","has_new_constitution","has_full_suffrage","suffrage_restriction","electoral_category_index","electoral_category","spatial_electoral","has_alternation","is_multiparty","has_free_and_fair_election","parliamentary_election_year","election_month","election_year","has_postponed_election"
"1","Afghanistan","AFG",1950,5,"Royal dictatorship",TRUE,FALSE,"Mohammed Zahir Shah",1933,1914,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,0,2,FALSE,NA,171,NA,NA,FALSE,FALSE,"Male vote only",2,"non-democratic multi-party elections",1.5,FALSE,TRUE,FALSE,0,NA,NA,FALSE
"2","Afghanistan","AFG",1951,5,"Royal dictatorship",TRUE,FALSE,"Mohammed Zahir Shah",1933,1914,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,0,2,FALSE,NA,171,NA,NA,FALSE,FALSE,"Male vote only",2,"non-democratic multi-party elections",1.5,FALSE,TRUE,FALSE,0,NA,NA,FALSE
"3","Afghanistan","AFG",1952,5,"Royal dictatorship",TRUE,FALSE,"Mohammed Zahir Shah",1933,1914,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,0.25,2,FALSE,NA,171,NA,NA,FALSE,FALSE,"Male vote only",2,"non-democratic multi-party elections",1.75,FALSE,TRUE,FALSE,1,"February",1952,FALSE
"4","Afghanistan","AFG",1953,5,"Royal dictatorship",TRUE,FALSE,"Mohammed Zahir Shah",1933,1914,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,0.25,2,FALSE,NA,171,NA,NA,FALSE,FALSE,"Male vote only",2,"non-democratic multi-party elections",1.75,FALSE,TRUE,FALSE,0,NA,NA,FALSE
"5","Afghanistan","AFG",1954,5,"Royal dictatorship",TRUE,FALSE,"Mohammed Zahir Shah",1933,1914,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,0.25,2,NA,NA,NA,NA,NA,FALSE,FALSE,"Male vote only",2,"non-democratic multi-party elections",1.75,FALSE,TRUE,FALSE,0,NA,NA,FALSE
"6","Afghanistan","AFG",1955,5,"Royal dictatorship",TRUE,FALSE,"Mohammed Zahir Shah",1933,1914,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,0.25,2,NA,NA,NA,NA,NA,FALSE,FALSE,"Male vote only",2,"non-democratic multi-party elections",1.75,FALSE,TRUE,FALSE,1,NA,NA,FALSE
"7","Afghanistan","AFG",1956,5,"Royal dictatorship",TRUE,FALSE,"Mohammed Zahir Shah",1933,1914,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,0.25,2,NA,NA,NA,NA,NA,FALSE,FALSE,"Male vote only",2,"non-democratic multi-party elections",1.75,FALSE,TRUE,FALSE,0,NA,NA,FALSE
"8","Afghanistan","AFG",1957,5,"Royal dictatorship",TRUE,FALSE,"Mohammed Zahir Shah",1933,1914,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,0.25,2,NA,NA,NA,NA,NA,FALSE,FALSE,"Male vote only",2,"non-democratic multi-party elections",1.75,FALSE,TRUE,FALSE,0,NA,NA,FALSE
"9","Afghanistan","AFG",1958,5,"Royal dictatorship",TRUE,FALSE,"Mohammed Zahir Shah",1933,1914,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,0.25,2,NA,NA,NA,NA,NA,FALSE,FALSE,"Male vote only",2,"non-democratic multi-party elections",1.75,FALSE,TRUE,FALSE,1,NA,NA,FALSE
"10","Afghanistan","AFG",1959,5,"Royal dictatorship",TRUE,FALSE,"Mohammed Zahir Shah",1933,1914,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,0,2,NA,NA,NA,NA,NA,FALSE,FALSE,"Male vote only",2,"non-democratic multi-party elections",1,FALSE,TRUE,FALSE,0,NA,NA,FALSE
